# X Axis,A,output,C
1.000000000000000000e+09,-4.729310007682479977e+01,-8.148322665978329837e+01,-3.419012658295849860e+01
1.034999999999999881e+09,-4.730559732839780196e+01,-8.180201051449770944e+01,-3.449641318609990037e+01
1.070000000000000119e+09,-4.731854178185749760e+01,-8.211157359163570391e+01,-3.479303180977819920e+01
1.105000000000000000e+09,-4.733193514635510013e+01,-8.241255887258620305e+01,-3.508062372623110292e+01
1.140000000000000000e+09,-4.734577918071200031e+01,-8.270554956672259550e+01,-3.535977038601060229e+01
1.175000000000000000e+09,-4.736007569292959829e+01,-8.299107635679609984e+01,-3.563100066386650155e+01
1.210000000000000000e+09,-4.737482653972259783e+01,-8.326962358069259551e+01,-3.589479704096999768e+01
1.245000000000000000e+09,-4.739003362608460179e+01,-8.354163453163690178e+01,-3.615160090555229999e+01
1.280000000000000000e+09,-4.740569890489049953e+01,-8.380751602356599506e+01,-3.640181711867550263e+01
1.315000000000000000e+09,-4.742182437654309979e+01,-8.406764234068459984e+01,-3.664581796414150006e+01
1.350000000000000000e+09,-4.743841208867250003e+01,-8.432235866831830151e+01,-3.688394657964580148e+01
1.385000000000000000e+09,-4.745546413589210033e+01,-8.457198408477501061e+01,-3.711651994888290318e+01
1.420000000000000000e+09,-4.747298265962560038e+01,-8.481681418000300710e+01,-3.734383152037739961e+01
1.455000000000000000e+09,-4.749096984801099808e+01,-8.505712335561230475e+01,-3.756615350760129957e+01
1.490000000000000000e+09,-4.750942793589150170e+01,-8.529316685174670454e+01,-3.778373891585520283e+01
1.525000000000000000e+09,-4.752835920490819888e+01,-8.552518253890949040e+01,-3.799682333400129863e+01
1.560000000000000000e+09,-4.754776598370129648e+01,-8.575339250678030112e+01,-3.820562652307899754e+01
1.595000000000000000e+09,-4.756765064823890299e+01,-8.597800447710180549e+01,-3.841035382886290250e+01
1.630000000000000000e+09,-4.758801562228409665e+01,-8.619921306359319146e+01,-3.861119744130910192e+01
1.665000000000000000e+09,-4.760886337801620272e+01,-8.641720089843690289e+01,-3.880833752042070017e+01
1.700000000000000000e+09,-4.763019643682609683e+01,-8.663213964204788908e+01,-3.900194320522179936e+01
1.735000000000000000e+09,-4.765201737030069751e+01,-8.684419089044870077e+01,-3.919217352014800326e+01
1.770000000000000000e+09,-4.767432880142030172e+01,-8.705350699257940050e+01,-3.937917819115909879e+01
1.805000000000000000e+09,-4.769713340598600126e+01,-8.726023178818120130e+01,-3.956309838219520003e+01
1.840000000000000000e+09,-4.772043391430720050e+01,-8.746450127547660713e+01,-3.974406736116939953e+01
1.875000000000000000e+09,-4.774423311316989782e+01,-8.766644421664669551e+01,-3.992221110347679769e+01
1.910000000000000000e+09,-4.776853384811629866e+01,-8.786618268808518906e+01,-4.009764883996889751e+01
1.945000000000000000e+09,-4.779333902606590101e+01,-8.806383258152411031e+01,-4.027049355545820220e+01
1.980000000000000000e+09,-4.781865161831340316e+01,-8.825950406137400250e+01,-4.044085244306059934e+01
